맥체인 성경읽기표,,,,,
월,일,내용,,,
,31,열왕기하13,디모데후서3,"호세아5,6",
11월,1,열왕기하14,디모데후서4,호세아7,"시편120,121,122"
,2,열왕기하15,디도서1,호세아8,"시편123,124,125"
,3,열왕기하16,디도서2,호세아9,"시편126,127,128"
,4,열왕기하17,디도서3,호세아10,"시편129,130,131"
,5,열왕기하18,빌레몬서1,호세아11,"시편132,133,134"
,6,열왕기하19,히브리서1,호세아12,"시편135,136"
,7,열왕기하20,히브리서2,호세아13,"시편137,138"
,8,열왕기하21,히브리서3,호세아14,시편139
,9,열왕기하22,히브리서4,요엘1,"시편140,141"
,10,열왕기하23,히브리서5,요엘2,"시편142,143"
,11,열왕기하24,히브리서6,요엘3,시편144
,12,열왕기하25,히브리서7,아모스1,시편145
,13,"역대상1,2",히브리서8,아모스2,"시편146,147"
,14,"역대상3,4",히브리서9,아모스3,시편148
,15,"역대상5,6",히브리서10,아모스4,"시편149,150"
,16,"역대상7,8",히브리서11,아모스5,누가복음1
,17,"역대상9,10",히브리서12,아모스6,
,18,"역대상11,12",히브리서13,아모스7,누가복음2
,19,"역대상13,14",야고보서1,아모스8,누가복음3
,20,역대상15,야고보서2,아모스9,누가복음4
,21,역대상16,야고보서3,오바댜1,누가복음5
,22,역대상17,야고보서4,요나1,누가복음6
,23,역대상18,야고보서5,요나2,누가복음7
,24,"역대상19,20",베드로전서1,요나3,누가복음8
,25,역대상21,베드로전서2,요나4,누가복음9
,26,역대상22,베드로전서3,미가1,누가복음10
,27,역대상23,베드로전서4,미가2,누가복음11
,28,"역대상24,25",베드로전서5,미가3,누가복음12
,29,"역대상26,27",베드로후서1,미가4,누가복음13
,30,역대상28,베드로후서2,미가5,누가복음14
12월,1,역대상29,베드로후서3,미가6,누가복음15
,2,역대하1,요한일서1,미가7,누가복음16
,3,역대하2,요한일서2,나훔1,누가복음17
,4,"역대하3,4",요한일서3,나훔2,누가복음18
,5,역대하5,요한일서4,나훔3,누가복음19
,6,역대하6,요한일서5,하박국1,누가복음20
,7,역대하7,요한이서1,하박국2,누가복음21
,8,역대하8,요한삼서1,하박국3,누가복음22
,9,역대하9,유다서1,스바냐1,누가복음23
,10,역대하10,요한계시록1,스바냐2,누가복음24
,11,"역대하11,12",요한계시록2,스바냐3,요한복음1
,12,역대하13,요한계시록3,학개1,요한복음2
,13,"역대하14,15",요한계시록4,학개2,요한복음3
,14,역대하16,요한계시록5,스가랴1,요한복음4
,15,역대하17,요한계시록6,스가랴2,요한복음5
,16,역대하18,요한계시록7,스가랴3,요한복음6
,17,"역대하19,20",요한계시록8,스가랴4,요한복음7
,18,역대하21,요한계시록9,스가랴5,요한복음8
,19,"역대하22,23",요한계시록10,스가랴6,요한복음9
,20,역대하24,요한계시록11,스가랴7,요한복음10
,21,역대하25,요한계시록12,스가랴8,요한복음11
,22,역대하26,요한계시록13,스가랴9,요한복음12
,23,"역대하27,28",요한계시록14,스가랴10,요한복음13
,24,역대하29,요한계시록15,스가랴11,요한복음14
,25,역대하30,요한계시록16,스가랴12,요한복음15
,26,역대하31,요한계시록17,스가랴13,요한복음16
,27,역대하32,요한계시록18,스가랴14,요한복음17
,28,역대하33,요한계시록19,말라기1,요한복음18
,29,역대하34,요한계시록20,말라기2,요한복음19
,30,역대하35,요한계시록21,말라기3,요한복음20
,31,역대하36,요한계시록22,말라기4,요한복음21
,,,,,
